_stage,_drop_reason,spec_requirement_id,spec_id,requirement_name,operator,value,uom,requirement_class,confidence,source_page,value_raw,uom_raw,parse_status,evidence,chunk_id,model,origin
overrides,extracted requirement replaced by override,MIL-PRF-39007__resistance_tolerance,MIL-PRF-39007,resistance_tolerance,gte,0.5,pct,electrical,0.92,14,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-39007__temperature_coefficient,MIL-PRF-39007,temperature_coefficient,eq,100,ppm_per_C,electrical,0.82,12,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-55342__resistance_tolerance,MIL-PRF-55342,resistance_tolerance,eq,5.0,pct,electrical,0.74,26,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-55342__temperature_coefficient,MIL-PRF-55342,temperature_coefficient,gte,25,ppm_per_C,electrical,0.85,48,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-123__capacitance_tolerance,MIL-PRF-123,capacitance_tolerance,gte,2.0,pct,electrical,0.94,13,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-27__inductance_tolerance,MIL-PRF-27,inductance_tolerance,eq,10.0,pct,electrical,0.93,3,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-27__current_rating,MIL-PRF-27,current_rating,eq,2.0,A,electrical,0.8,41,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-123__dissipation_factor,MIL-PRF-123,dissipation_factor,gte,2.25,pct,electrical,0.78,10,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-123__voltage_rating,MIL-PRF-123,voltage_rating,eq,200,V,electrical,0.93,4,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-39014__dissipation_factor,MIL-PRF-39014,dissipation_factor,gte,0.59,pct,electrical,0.82,17,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-39007__voltage_rating,MIL-PRF-39007,voltage_rating,eq,250,V,electrical,0.81,21,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-55342__voltage_rating,MIL-PRF-55342,voltage_rating,eq,500,V,electrical,0.91,5,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-38535__voltage_rating,MIL-PRF-38535,voltage_rating,eq,100,V,electrical,0.79,6,,,,,,,
overrides,extracted requirement replaced by override,MIL-PRF-15733__frequency_range_max,MIL-PRF-15733,frequency_range_max,eq,10000,MHz,electrical,0.97,44,,,,,,,
overrides,extracted requirement replaced by override,MIL-DTL-38999__contact_resistance,MIL-DTL-38999,contact_resistance,gte,1.4,mohm,electrical,0.81,36,,,,,,,
overrides,extracted requirement replaced by override,MIL-DTL-38999__insulation_resistance,MIL-DTL-38999,insulation_resistance,eq,5000,Mohm,electrical,0.86,13,,,,,,,
overrides,extracted requirement replaced by override,MIL-DTL-5015__insulation_resistance,MIL-DTL-5015,insulation_resistance,eq,5000,Mohm,electrical,0.89,30,,,,,,,
overrides,extracted requirement replaced by override,MIL-DTL-83513__insulation_resistance,MIL-DTL-83513,insulation_resistance,eq,5000,Mohm,electrical,0.77,16,,,,,,,
