source,raw_name,canonical_name
publog,RESISTANCE,resistance
publog,RESISTANCE TOLERANCE,tolerance
publog,POWER DISSIPATION RATING,power_rating
publog,TEMPERATURE COEFFICIENT,temperature_coefficient
publog,OPERATING TEMPERATURE,operating_temp
publog,OPERATING TEMPERATURE RANGE,operating_temp
publog,CAPACITANCE,capacitance
publog,CAPACITANCE TOLERANCE,tolerance
publog,VOLTAGE RATING,voltage_rating
publog,RATED VOLTAGE,voltage_rating
publog,DIELECTRIC MATERIAL,dielectric
publog,CURRENT RATING,current_rating
publog,MOUNTING METHOD,mounting_type
publog,BODY STYLE,package_case
publog,TERMINAL TYPE,terminal_type
digikey,Resistance,resistance
digikey,Tolerance,tolerance
digikey,Power (Watts),power_rating
digikey,Temperature Coefficient,temperature_coefficient
digikey,Operating Temperature,operating_temp
digikey,Capacitance,capacitance
digikey,Voltage - Rated,voltage_rating
digikey,Voltage - Rated DC,voltage_rating
digikey,Voltage - DC Reverse (Vr) (Max),voltage_rating
digikey,Current - Average Rectified (Io),current_rating
digikey,Current - Max,current_rating
digikey,Package / Case,package_case
digikey,Supplier Device Package,package_case
digikey,Mounting Type,mounting_type
digikey,Composition,composition
digikey,Temperature Coefficient,temperature_coefficient
spec,resistance,resistance
spec,resistance tolerance,tolerance
spec,tolerance,tolerance
spec,power rating,power_rating
spec,rated power,power_rating
spec,operating temperature,operating_temp
spec,operating temperature range,operating_temp
spec,capacitance,capacitance
spec,rated voltage,voltage_rating
spec,voltage rating,voltage_rating
spec,dielectric withstanding voltage,dielectric_withstanding_voltage
spec,insulation resistance,insulation_resistance
spec,temperature coefficient,temperature_coefficient
spec,qualification,qualification
spec,qpl listing,qualification
publog,actuation_pressure,actuation_pressure
publog,ACTUATION PRESSURE,actuation_pressure
publog,capacitance,capacitance
publog,CAPACITANCE,capacitance
publog,capacitance_tolerance,capacitance_tolerance
publog,CAPACITANCE TOLERANCE,capacitance_tolerance
publog,coil_resistance,coil_resistance
publog,COIL RESISTANCE,coil_resistance
publog,coil_voltage,coil_voltage
publog,COIL VOLTAGE,coil_voltage
publog,contact_configuration,contact_configuration
publog,CONTACT CONFIGURATION,contact_configuration
publog,contact_count,contact_count
publog,CONTACT COUNT,contact_count
