spec_id,requirement_name,operator,value,uom,requirement_class,confidence,source_page
MIL-PRF-39007,resistance_tolerance,lte,0.5,pct,electrical,1.00,14
MIL-PRF-39007,temperature_coefficient,lte,100,ppm_per_C,electrical,1.00,12
MIL-PRF-55342,resistance_tolerance,lte,5.0,pct,electrical,1.00,26
MIL-PRF-55342,temperature_coefficient,lte,25,ppm_per_C,electrical,1.00,48
MIL-PRF-123,capacitance_tolerance,lte,2.0,pct,electrical,1.00,13
MIL-PRF-27,inductance_tolerance,lte,10.0,pct,electrical,1.00,3
MIL-PRF-27,current_rating,gte,2.0,A,electrical,1.00,41
MIL-PRF-123,dissipation_factor,lte,2.25,pct,electrical,1.00,10
MIL-PRF-123,voltage_rating,gte,200,V,electrical,1.00,4
MIL-PRF-39014,dissipation_factor,lte,0.59,pct,electrical,1.00,17
MIL-PRF-39007,voltage_rating,gte,250,V,electrical,1.00,21
MIL-PRF-55342,voltage_rating,gte,500,V,electrical,1.00,5
MIL-PRF-38535,voltage_rating,gte,100,V,electrical,1.00,6
MIL-PRF-15733,frequency_range_max,gte,10000,MHz,electrical,1.00,44
MIL-DTL-38999,contact_resistance,lte,1.4,mohm,electrical,1.00,36
MIL-DTL-38999,insulation_resistance,gte,5000,Mohm,electrical,1.00,13
MIL-DTL-5015,insulation_resistance,gte,5000,Mohm,electrical,1.00,30
MIL-DTL-83513,insulation_resistance,gte,5000,Mohm,electrical,1.00,16
