nsn,subsystem,slot_name,notes
5905-00-493-1204,signal_conditioning,SIG01_induct_wire_wound_fixed_re,
5905-00-493-1210,signal_conditioning,SIG02_induct_wire_wound_fixed_re,
5905-00-493-1211,signal_conditioning,SIG03_induct_wire_wound_fixed_re,
5905-01-173-4875,signal_conditioning,SIG04_induct_wire_wound_fixed_re,
5905-01-290-1192,signal_conditioning,SIG05_film_fixed_resistor,
5910-00-934-0177,power_distribution,POW01_paper_metallized_fixed_cap,
5910-01-204-1981,power_distribution,POW02_ceramic_dielectr_fixed_cap,
5910-01-237-2621,power_distribution,POW03_ceramic_dielectr_fixed_cap,
5915-01-134-7687,power_distribution,POW04_direct_current_power_filte,
5930-00-689-2834,power_distribution,POW05_toggle_switch,
5930-01-110-7093,power_distribution,POW06_pressure_switch,
5930-01-110-7094,power_distribution,POW07_pressure_switch,
5930-01-174-6031,power_distribution,POW08_pressure_switch,
5935-00-079-5458,signal_distribution,SIG01_electrical_plug_connector,
5935-00-104-9650,signal_distribution,SIG02_connector_adapter,
5935-00-105-4641,signal_distribution,SIG03_electrical_plug_connector,
5935-00-330-3329,signal_distribution,SIG04_electrical_plug_connector_,
5935-00-812-3399,signal_distribution,SIG05_electrical_receptacle_conn,
5935-00-987-0797,signal_distribution,SIG06_electrical_connector_retai,
5935-01-050-8241,signal_distribution,SIG07_electrical_connector_backs,
5935-01-151-1226,signal_distribution,SIG08_electrical_plug_connector,
5935-01-223-2835,signal_distribution,SIG09_electrical_connector_backs,
5935-01-249-9088,signal_distribution,SIG10_electrical_plug_connector_,
5935-01-296-3505,signal_distribution,SIG11_electrical_receptacle_conn,
5935-01-446-7776,signal_distribution,SIG12_electrical_connector_backs,
5945-00-491-3597,power_distribution,POW09_electromagnetic_relay,
5950-00-698-0421,power_distribution,POW10_electrical_coil,
5950-01-199-2306,power_distribution,POW11_radio_frequency_coil,
5950-01-224-5861,power_distribution,POW12_pulse_transformer,
5961-01-017-5461,signal_conditioning,SIG06_diode_semiconductor_device,
5999-00-162-1259,signal_conditioning,SIG07_electrical_cap,
5999-00-196-0634,signal_conditioning,SIG08_heat_sink,
5999-01-070-6620,signal_conditioning,SIG09_electrical_contact,
5999-01-129-4193,signal_conditioning,SIG10_electronic_shielding_gaske,
5999-01-209-0658,signal_conditioning,SIG11_electrical_electronic_heat,
5999-01-215-7176,signal_conditioning,SIG12_knitted_wire_mesh,
5999-01-222-0064,signal_conditioning,SIG13_electronic_shielding_gaske,
5999-01-240-8049,signal_conditioning,SIG14_electronic_shielding_gaske,
5999-01-270-9406,signal_conditioning,SIG15_electronic_equipment_fluid,
5999-01-294-4489,signal_conditioning,SIG16_electronic_shielding_gaske,
5999-01-473-6202,signal_conditioning,SIG17_electrical_contact,
