nsn,candidate_mpn,manufacturer,digikey_pn,raw_attributes_json,closeness_score,search_mode
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,"{""Resistance"": ""250 Ohms"", ""Tolerance"": ""±0.01%"", ""Power (Watts)"": ""0.25W, 1/4W"", ""Composition"": ""Wirewound"", ""Features"": ""Flame Proof, Moisture Resistant, Non-Inductive, Safety"", ""Temperature Coefficient"": ""±10ppm/°C"", ""Operating Temperature"": ""-55°C ~ 145°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""-"", ""Size / Dimension"": ""0.252\"" Dia x 0.500\"" L (6.40mm x 12.70mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://riedon.com/media/pdf/Precision_Resistors.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/100%20SERIES_0.252%20Dia%20x%200.500%20L%20%286.40mm%20x%2012.70mm%29.jpg"", ""_description"": ""RES 250 OHM 0.01% 1/4W AXIAL"", ""_unit_price"": 9.4, ""_qty_available"": 1012, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/riedon-products-by-bourns/101-250RX/4832940""}",0.0,parametric+parametric_loose
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,"{""Resistance"": ""100 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.6W"", ""Composition"": ""Metal Film"", ""Features"": ""Flame Retardant Coating, Moisture Resistant, Safety"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 175°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.090\"" Dia x 0.240\"" L (2.29mm x 6.10mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/31018/cmfind.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg"", ""_description"": ""RES 100 OHM 1/2W 0.1% AXIAL"", ""_unit_price"": 1.91, ""_qty_available"": 11262, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay-dale/CMF55100R00BEEB/2197095""}",0.0,parametric+parametric_loose
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,"{""Resistance"": ""10 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.6W"", ""Composition"": ""Metal Film"", ""Features"": ""Flame Retardant Coating, Moisture Resistant, Safety"", ""Temperature Coefficient"": ""±50ppm/°C"", ""Operating Temperature"": ""-55°C ~ 175°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.090\"" Dia x 0.240\"" L (2.29mm x 6.10mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.vishay.com/docs/31018/cmfind.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg"", ""_description"": ""RES 10 OHM 1/2W .1% AXIAL"", ""_unit_price"": 1.21, ""_qty_available"": 27214, ""_category"": ""Through Hole Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/vishay-dale/CMF5510R000BHEA/3613782""}",0.0,parametric+parametric_loose
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,"{""Resistance"": ""10 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Current Sense"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.bourns.com/docs/Product-Datasheets/crt.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7210/MFG_118_CRT_series.jpg"", ""_description"": ""RES SMD 10K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 35245, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/bourns-inc/CRT0603-BY-1002ELF/1775019""}",0.0,parametric+parametric_loose
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,"{""Resistance"": ""100 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Current Sense"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.bourns.com/docs/Product-Datasheets/crt.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7210/MFG_118_CRT_series.jpg"", ""_description"": ""RES SMD 100K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 95341, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/bourns-inc/CRT0603-BY-1003ELF/1775020""}",0.0,parametric+parametric_loose
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,"{""Resistance"": ""10 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Current Sense"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://www.bourns.com/docs/Product-Datasheets/crt.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7210/MFG_118_CRT_series.jpg"", ""_description"": ""RES SMD 10 OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 144341, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/bourns-inc/CRT0603-BY-10R0ELF/1775018""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,"{""Resistance"": ""10 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 10K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.11, ""_qty_available"": 247719, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB103V/1465878""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,"{""Resistance"": ""120 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 120 OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.11, ""_qty_available"": 323595, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB121V/1465832""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,"{""Resistance"": ""12 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 12K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 72569, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB123V/1465880""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,"{""Resistance"": ""200 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 200 OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 20766, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB201V/1465837""}",0.0,parametric+parametric_loose
