nsn,candidate_mpn,manufacturer,digikey_pn,attribute_name,raw_name,raw_value,value_num,value_min,value_max,uom,value_text,parse_status,source
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,resistance,Resistance,250 Ohms,250.0,,,ohm,250 Ohms,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,resistance_tolerance,Tolerance,±0.01%,0.01,,,%,±0.01%,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,power_rating,Power (Watts),"0.25W, 1/4W",0.25,,,W,"0.25W, 1/4W",number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,composition,Composition,Wirewound,,,,,WIREWOUND,text,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,features,Features,"Flame Proof, Moisture Resistant, Non-Inductive, Safety",,,,,FLAMEPROOFMOISTURERESISTANTNONINDUCTIVESAFETY,text,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,temperature_coefficient,Temperature Coefficient,±10ppm/°C,10.0,,,ppm/degC,±10ppm/°C,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,operating_temp_min,Operating Temperature,-55°C ~ 145°C,-55.0,,,degC,-55°C ~ 145°C,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,operating_temp_max,Operating Temperature,-55°C ~ 145°C,145.0,,,degC,-55°C ~ 145°C,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,package_case,Package / Case,Axial,,,,,AXIAL,text,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,package_case,Supplier Device Package,-,,,,,,empty,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,size_dimension,Size / Dimension,"0.252"" Dia x 0.500"" L (6.40mm x 12.70mm)",,,,,0252DIAX0500L640MMX1270MM,text,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,height_seated_max,Height - Seated (Max),-,,,,,,empty,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,101-250RX,Riedon products by Bourns,696-1556-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,resistance,Resistance,100 Ohms,100.0,,,ohm,100 Ohms,number,digikey
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,power_rating,Power (Watts),0.6W,0.6,,,W,0.6W,number,digikey
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,composition,Composition,Metal Film,,,,,METALFILM,text,digikey
5905-00-493-1204,CMF55100R00BEEB,Vishay Dale,CMF100HBTR-ND,features,Features,"Flame Retardant Coating, Moisture Resistant, Safety",,,,,FLAMERETARDANTCOATINGMOISTURERESISTANTSAFETY,text,digikey
