mpn,manufacturer,lifecycle_status,median_price,stock_qty,lead_time_days,datasheet_url,distributor_count,lifecycle_raw,price_basis_qty,nexar_part_id,matched_mpn,seller_count,authorized_distributor_count,octopart_url,fetched_at
0409-201-1800,TE Connectivity / DEUTSCH,unknown,9.44,75463.0,0.0,,14.0,,1000.0,77014310,0409-201-1800,24,5,https://octopart.com/part/te-connectivity-deutsch/0409-201-1800,2026-09-05T20:31:08
0409-201-2400,TE Connectivity / DEUTSCH,unknown,9.18,41916.0,0.0,,18.0,,1000.0,77014311,0409-201-2400,27,7,https://octopart.com/part/te-connectivity-deutsch/0409-201-2400,2026-09-05T20:31:08
07-0201-0237,Chomerics,unknown,85.96,5.0,56.0,,1.0,,1000.0,97342261,07-0201-0237,1,1,https://octopart.com/part/chomerics/07-0201-0237,2026-09-05T20:31:19
07-0201-0875,Chomerics,unknown,56.0853,3.0,56.0,,1.0,,1000.0,97342263,07-0201-0875,1,1,https://octopart.com/part/chomerics/07-0201-0875,2026-09-05T20:31:17
07-0202-0094,Chomerics,unknown,104.81,8.0,56.0,,1.0,,1000.0,97342265,07-0202-0094,1,1,https://octopart.com/part/chomerics/07-0202-0094,2026-09-05T20:31:20
0805J0500100MCTE07,Knowles,unknown,0.3624,0.0,70.0,,0.0,,1000.0,148661468,0805J0500100MCTE07,3,0,https://octopart.com/part/knowles-syfer/0805J0500100MCTE07,2026-09-05T20:30:57
0805J0500120MCTE07,Knowles,unknown,0.3624,0.0,70.0,,0.0,,1000.0,148662085,0805J0500120MCTE07,3,0,https://octopart.com/part/knowles-syfer/0805J0500120MCTE07,2026-09-05T20:30:58
0805J0500220MCTE07,Knowles,unknown,0.3824,0.0,70.0,,0.0,,1000.0,109264430,0805J0500220MCTE07,3,0,https://octopart.com/part/knowles-syfer/0805J0500220MCTE07,2026-09-05T20:30:58
1-206062-3,TE Connectivity,unknown,6.30725,16767.0,0.0,,21.0,,1000.0,41294408,1-206062-3,28,12,https://octopart.com/part/te-connectivity/1-206062-3,2026-09-05T20:31:09
10BQ100,Vishay,unknown,,18278.0,,,6.0,,,46526789,10BQ100,6,0,https://octopart.com/part/vishay/10BQ100,2026-09-05T20:31:15
110991327,Seeed Studio,unknown,1.045,43087.0,14.0,,8.0,,1000.0,104808882,110991327,9,4,https://octopart.com/part/seeed-studio/110991327,2026-09-05T20:31:18
1812Y1K00473KST,Knowles,unknown,0.82353,117463.0,70.0,,5.0,,1000.0,67090002,1812Y1K00473KST,11,2,https://octopart.com/part/knowles-syfer/1812Y1K00473KST,2026-09-05T20:30:54
1825AC473KAT1A,KYOCERA AVX,unknown,0.74943,136747.0,224.0,,14.0,,1000.0,71038306,1825AC473KAT1A,15,2,https://octopart.com/part/kyocera-avx/1825AC473KAT1A,2026-09-05T20:30:54
1N4002,Diotec,unknown,0.0371,368461.0,4.0,,12.0,,1000.0,22658669,1N4002,15,3,https://octopart.com/part/diotec/1N4002,2026-09-05T20:31:15
