nsn,image_url,source,source_mpn
5905-00-493-1204,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/100%20SERIES_0.252%20Dia%20x%200.500%20L%20%286.40mm%20x%2012.70mm%29.jpg,candidate_standin,101-250RX
5905-00-493-1210,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/100%20SERIES_0.252%20Dia%20x%200.500%20L%20%286.40mm%20x%2012.70mm%29.jpg,candidate_standin,101-250RX
5905-00-493-1211,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4843/YAGEOCHIPRES.jpg,candidate_standin,AC2010DK-7W100KL
5905-01-173-4875,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/9004/MFG_6650_2CS.jpg,candidate_standin,"2CS 1R0 0,5%"
5905-01-290-1192,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4897/MFG_Wide-0805-2012-Metric.jpg,candidate_standin,3430A3F150RTDF
5910-00-934-0177,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6310/1608%7E4532-25%7E1812.jpg,candidate_standin,1812Y1K00473KST
5910-01-204-1981,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/0603%289mmthickness%29.jpg,candidate_standin,CC0603KRX7RABB103
5910-01-237-2621,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg,candidate_standin,C330C104G2G5TA
5915-01-134-7687,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2321/4310-Series.jpg,candidate_standin,4310-010LF
5930-00-689-2834,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/8905/MFG_09-1-2-17.jpg,candidate_standin,09-1-2-17
5930-01-110-7093,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6822/CT41-001N022.jpg,candidate_standin,CT41-001N022
5930-01-110-7094,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/8905/MFG_09-1-2-17.jpg,candidate_standin,09-1-2-17
5930-01-174-6031,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/8905/MFG_09-1-2-17.jpg,candidate_standin,09-1-2-17
