nsn,fsc,item_name,governing_spec_ref,cage_code
5905-00-493-1204,5905,Induct Wire Wound Fixed Resistor,MIL-PRF-39007,30221
5905-00-493-1210,5905,Induct Wire Wound Fixed Resistor,MIL-PRF-39007,30221
5905-00-493-1211,5905,Induct Wire Wound Fixed Resistor,MIL-PRF-39007,30221
5905-01-173-4875,5905,Induct Wire Wound Fixed Resistor,MIL-PRF-39007,81349
5905-01-290-1192,5905,Film Fixed Resistor,MIL-PRF-55342,18876
5910-00-934-0177,5910,Paper Metallized Fixed Capacitor,MIL-PRF-39014,01526
5910-01-204-1981,5910,Ceramic Dielectr Fixed Capacitor,MIL-PRF-123,18876
5910-01-237-2621,5910,Ceramic Dielectr Fixed Capacitor,MIL-PRF-123,18876
5915-01-134-7687,5915,Direct Current Power Filter,MIL-PRF-15733,13058
5930-00-689-2834,5930,Toggle Switch,MIL-DTL-5809,74545
5930-01-110-7093,5930,Pressure Switch,MIL-DTL-5809,18876
5930-01-110-7094,5930,Pressure Switch,MIL-DTL-5809,18876
5930-01-174-6031,5930,Pressure Switch,MIL-DTL-5809,18876
5935-00-079-5458,5935,Electrical Plug Connector,MIL-DTL-38999,95542
5935-00-104-9650,5935,Connector Adapter,MIL-DTL-83723,14949
5935-00-105-4641,5935,Electrical Plug Connector,MIL-DTL-38999,18876
5935-00-330-3329,5935,Electrical Plug Connector Body,MIL-DTL-38999,91662
5935-00-812-3399,5935,Electrical Receptacle Connector,MIL-DTL-38999,02660
5935-00-987-0797,5935,Electrical Connector Retainer,MIL-DTL-5015,18876
5935-01-050-8241,5935,Electrical Connector Backshell,MIL-DTL-83723,98230
5935-01-151-1226,5935,Electrical Plug Connector,MIL-DTL-38999,C2311
5935-01-223-2835,5935,Electrical Connector Backshell,MIL-DTL-83723,18876
5935-01-249-9088,5935,Electrical Plug Connector Body,MIL-DTL-38999,18876
5935-01-296-3505,5935,Electrical Receptacle Connector,MIL-DTL-5015,02660
5935-01-446-7776,5935,Electrical Connector Backshell,MIL-DTL-83723,18876
5945-00-491-3597,5945,Electromagnetic Relay,MIL-PRF-39016,02289
5950-00-698-0421,5950,Electrical Coil,MIL-PRF-83446,05584
5950-01-199-2306,5950,Radio Frequency Coil,MIL-PRF-27,18876
5950-01-224-5861,5950,Pulse Transformer,MIL-PRF-27,18876
5961-01-017-5461,5961,Diode Semiconductor Device,MIL-PRF-38535,81349
5999-00-162-1259,5999,Electrical Cap,MIL-DTL-24308,80063
5999-00-196-0634,5999,Heat Sink,MIL-PRF-49464,18876
5999-01-070-6620,5999,Electrical Contact,MIL-PRF-49464,34860
5999-01-129-4193,5999,Electronic Shielding Gasket,MIL-PRF-49464,18565
5999-01-209-0658,5999,Electrical-electronic Heat Sink,MIL-PRF-49464,18876
5999-01-215-7176,5999,Knitted Wire Mesh,MIL-DTL-24308,18876
5999-01-222-0064,5999,Electronic Shielding Gasket,MIL-DTL-24308,18565
5999-01-240-8049,5999,Electronic Shielding Gasket,MIL-DTL-83513,05869
5999-01-270-9406,5999,Electronic Equipment Fluid Cooler,MIL-DTL-83513,18876
5999-01-294-4489,5999,Electronic Shielding Gasket,MIL-PRF-49464,18876
5999-01-473-6202,5999,Electrical Contact,MIL-PRF-49464,18876
