nsn,reference_part_number,cage_code
5905-00-493-1204,289A651YL02C750,30221
5905-00-493-1204,289A651YL02C750,01526
5905-00-493-1210,289A651ZB03E715,30221
5905-00-493-1210,289A651ZB03E715,01526
5905-00-493-1211,289A651ZL02F150,30221
5905-00-493-1211,289A651ZL02F150,01526
5905-01-173-4875,10129812,81349
5905-01-290-1192,11465998-1,18876
5905-01-290-1192,11465998-1,3B150
5905-01-290-1192,11465998-1,49956
5910-00-934-0177,25M101-154A,01526
5910-00-934-0177,25M101-154A,89954
5910-00-934-0177,25M101-154A,58364
5910-01-204-1981,11444822-23,18876
5910-01-237-2621,10267695-6,18876
5910-01-237-2621,10267695-6,93958
5910-01-237-2621,10267695-6,CROSS
5915-01-134-7687,02F218,13058
5930-00-689-2834,1203-1,74545
5930-01-110-7093,11457690-1,18876
5930-01-110-7093,11457690-1,0C579
5930-01-110-7093,11457690-1,06141
5930-01-110-7093,11457690-1,60426
5930-01-110-7094,11457690-2,18876
5930-01-110-7094,11457690-2,0C579
5930-01-110-7094,11457690-2,06141
5930-01-110-7094,11457690-2,60426
5930-01-174-6031,10252742-2,18876
5930-01-174-6031,213C103-40A,18876
5935-00-079-5458,114-242-0002,95542
5935-00-079-5458,114-242-002,95542
5935-00-079-5458,2002-1551-003,95542
5935-00-079-5458,202-188,95542
5935-00-079-5458,2300-0006,95542
5935-00-104-9650,003544076 ITEM 13,14949
5935-00-104-9650,003544076/13,14949
5935-00-104-9650,003544077 ITEM 25,14949
5935-00-104-9650,003544077/25,14949
5935-00-104-9650,007522602 ITEM 54,14949
5935-00-104-9650,007522602/54,14949
5935-00-104-9650,007522605 ITEM 12,14949
5935-00-104-9650,007522605/12,14949
5935-00-104-9650,1-0161,14949
5935-00-104-9650,1000-0161,14949
5935-00-104-9650,1002908-01,14949
5935-00-104-9650,1999-2-9,14949
5935-00-104-9650,229675-1,14949
5935-00-104-9650,003544076 ITEM 13,K1182
5935-00-104-9650,003544076 ITEM 13,K1367
5935-00-104-9650,003544076 ITEM 13,K2516
5935-00-105-4641,003544076 ITEM 16,18876
5935-00-105-4641,003544076/16,18876
5935-00-105-4641,003544078 ITEM 210,18876
5935-00-105-4641,003544078/210,18876
5935-00-105-4641,007522616,18876
5935-00-105-4641,007522616 ITEM 67,18876
5935-00-105-4641,014226-2003,18876
5935-00-105-4641,1002698-06,18876
5935-00-105-4641,146744-001,18876
5935-00-105-4641,1995-8-29,18876
5935-00-105-4641,1995-8-9,18876
5935-00-105-4641,2001-099-N000,18876
5935-00-105-4641,2001099N000-000,18876
5935-00-105-4641,2388409-1,18876
5935-00-105-4641,25441-00929,18876
5935-00-105-4641,25441-32004,18876
5935-00-105-4641,28-P08749T002,18876
5935-00-105-4641,2917460-2,18876
5935-00-330-3329,00-8026-033-000-100,91662
5935-00-330-3329,00-8026-033-000-827,91662
5935-00-330-3329,11439375,91662
5935-00-330-3329,00-8026-033-000-100,18876
5935-00-330-3329,00-8026-033-000-100,D2643
5935-00-330-3329,00-8026-033-000-100,11769
5935-00-812-3399,17-20250-1,02660
5935-00-812-3399,267-4674-5,02660
5935-00-987-0797,10132274,18876
5935-00-987-0797,20418-2,18876
5935-01-050-8241,0N378774-1,98230
5935-01-050-8241,11474787,98230
5935-01-151-1226,2300231-350015.021.0,C2311
5935-01-151-1226,2300231-350015.021.0,D2692
5935-01-223-2835,11457992-2,18876
5935-01-223-2835,11457992-2,CROSS
5935-01-223-2835,11457992-2,07418
5935-01-249-9088,10250145-51,18876
5935-01-249-9088,230941-P40YYB,18876
5935-01-249-9088,230941-P40YYS,18876
5935-01-249-9088,10250145-51,30463
5935-01-249-9088,10250145-51,71468
5935-01-296-3505,17DCMM37PH,02660
5935-01-446-7776,11475513,18876
5935-01-446-7776,11475513,RNAAC
5945-00-491-3597,2BC1510-42,02289
5950-00-698-0421,18936-6,05584
5950-00-698-0421,18936-6,13483
5950-00-698-0421,18936-6,80063
5950-00-698-0421,18936-6,97381
5950-01-199-2306,11440839,18876
5950-01-199-2306,11440839,99800
5950-01-224-5861,11450530-1,18876
5950-01-224-5861,11450530-1,15634
5950-01-224-5861,11450530-1,13483
5950-01-224-5861,11450530-1,80223
5961-01-017-5461,1N5612,81349
5999-00-162-1259,143122,80063
5999-00-196-0634,10220260,18876
5999-01-070-6620,031-8624-001,34860
5999-01-070-6620,11019666-1,34860
5999-01-070-6620,11437044-9,34860
5999-01-070-6620,031-8624-001,D1371
5999-01-070-6620,031-8624-001,D1901
5999-01-070-6620,031-8624-001,71468
5999-01-129-4193,11450253-1,18565
