price_id,nsn,fiscal_year,unit_price_avg,quantity,vendor_cage,contract_count,total_obligation,transaction_count,vendor_name,vendor_uei,price_basis
5905-00-493-1204__none,5905-00-493-1204,,,,,,,,,,no_history
5905-00-493-1210__none,5905-00-493-1210,,,,,,,,,,no_history
5905-00-493-1211__none,5905-00-493-1211,,,,,,,,,,no_history
5905-01-173-4875__none,5905-01-173-4875,,,,,,,,,,no_history
5905-01-290-1192__none,5905-01-290-1192,,,,,,,,,,no_history
5910-00-934-0177__none,5910-00-934-0177,,,,,,,,,,no_history
5910-01-204-1981__none,5910-01-204-1981,,,,,,,,,,no_history
5910-01-237-2621__none,5910-01-237-2621,,,,,,,,,,no_history
5915-01-134-7687__none,5915-01-134-7687,,,,,,,,,,no_history
5930-00-689-2834__none,5930-00-689-2834,,,,,,,,,,no_history
5930-01-110-7093__none,5930-01-110-7093,,,,,,,,,,no_history
5930-01-110-7094__none,5930-01-110-7094,,,,,,,,,,no_history
5930-01-174-6031__none,5930-01-174-6031,,,,,,,,,,no_history
5935-00-079-5458__none,5935-00-079-5458,,,,,,,,,,no_history
5935-00-104-9650__none,5935-00-104-9650,,,,,,,,,,no_history
5935-00-105-4641__none,5935-00-105-4641,,,,,,,,,,no_history
5935-00-330-3329__none,5935-00-330-3329,,,,,,,,,,no_history
5935-00-812-3399__none,5935-00-812-3399,,,,,,,,,,no_history
5935-00-987-0797__none,5935-00-987-0797,,,,,,,,,,no_history
5935-01-050-8241__none,5935-01-050-8241,,,,,,,,,,no_history
5935-01-151-1226__none,5935-01-151-1226,,,,,,,,,,no_history
5935-01-223-2835__none,5935-01-223-2835,,,,,,,,,,no_history
5935-01-249-9088__none,5935-01-249-9088,,,,,,,,,,no_history
5935-01-296-3505__none,5935-01-296-3505,,,,,,,,,,no_history
5935-01-446-7776__none,5935-01-446-7776,,,,,,,,,,no_history
5945-00-491-3597__none,5945-00-491-3597,,,,,,,,,,no_history
5950-00-698-0421__none,5950-00-698-0421,,,,,,,,,,no_history
5950-01-199-2306__none,5950-01-199-2306,,,,,,,,,,no_history
5950-01-224-5861__none,5950-01-224-5861,,,,,,,,,,no_history
5961-01-017-5461__none,5961-01-017-5461,,,,,,,,,,no_history
5999-00-162-1259__none,5999-00-162-1259,,,,,,,,,,no_history
5999-00-196-0634__none,5999-00-196-0634,,,,,,,,,,no_history
5999-01-070-6620__none,5999-01-070-6620,,,,,,,,,,no_history
5999-01-129-4193__none,5999-01-129-4193,,,,,,,,,,no_history
5999-01-209-0658__none,5999-01-209-0658,,,,,,,,,,no_history
5999-01-215-7176__none,5999-01-215-7176,,,,,,,,,,no_history
5999-01-222-0064__none,5999-01-222-0064,,,,,,,,,,no_history
5999-01-240-8049__none,5999-01-240-8049,,,,,,,,,,no_history
5999-01-270-9406__none,5999-01-270-9406,,,,,,,,,,no_history
5999-01-294-4489__none,5999-01-294-4489,,,,,,,,,,no_history
5999-01-473-6202__none,5999-01-473-6202,,,,,,,,,,no_history
