qpl_id,governing_spec,manufacturer_name,cage_code,qualified_part_number,qualification_date
MIL-PRF-39007__30221__289A651YL02C750,MIL-PRF-39007,Ohmite Manufacturing,30221,289A651YL02C750,2020-09-11
MIL-PRF-39007__30221__289A651ZB03E715,MIL-PRF-39007,Ohmite Manufacturing,30221,289A651ZB03E715,2007-04-04
MIL-PRF-39007__30221__289A651ZL02F150,MIL-PRF-39007,Ohmite Manufacturing,30221,289A651ZL02F150,2021-07-20
MIL-PRF-123__18876__10267695-6,MIL-PRF-123,Amphenol Corporation,18876,10267695-6,2007-03-24
MIL-DTL-5809__18876__11457690-1,MIL-DTL-5809,Amphenol Corporation,18876,11457690-1,2009-09-08
MIL-DTL-38999__95542__114-242-0002,MIL-DTL-38999,Supplier 95542,95542,114-242-0002,2001-04-23
MIL-DTL-38999__18876__003544076 ITEM 16,MIL-DTL-38999,Amphenol Corporation,18876,003544076 ITEM 16,2008-05-26
MIL-DTL-38999__91662__00-8026-033-000-100,MIL-DTL-38999,Supplier 91662,91662,00-8026-033-000-100,2014-09-10
MIL-DTL-38999__02660__17-20250-1,MIL-DTL-38999,Supplier 02660,02660,17-20250-1,2016-09-17
MIL-DTL-5015__18876__10132274,MIL-DTL-5015,Amphenol Corporation,18876,10132274,2017-07-26
MIL-DTL-83723__98230__0N378774-1,MIL-DTL-83723,Supplier 98230,98230,0N378774-1,2012-08-07
MIL-DTL-38999__C2311__2300231-350015.021.0,MIL-DTL-38999,Supplier C2311,C2311,2300231-350015.021.0,2014-09-14
MIL-DTL-5015__02660__17DCMM37PH,MIL-DTL-5015,Supplier 02660,02660,17DCMM37PH,1999-07-19
MIL-PRF-39016__02289__2BC1510-42,MIL-PRF-39016,Supplier 02289,02289,2BC1510-42,2004-06-04
MIL-PRF-83446__05584__18936-6,MIL-PRF-83446,Supplier 05584,05584,18936-6,2014-12-18
MIL-PRF-27__18876__11450530-1,MIL-PRF-27,Amphenol Corporation,18876,11450530-1,2022-09-03
MIL-PRF-38535__81349__1N5612,MIL-PRF-38535,Vishay Dale,81349,1N5612,2001-06-12
MIL-DTL-24308__80063__143122,MIL-DTL-24308,Supplier 80063,80063,143122,2022-12-08
MIL-PRF-49464__18876__10220260,MIL-PRF-49464,Amphenol Corporation,18876,10220260,2004-06-27
MIL-PRF-49464__18876__276-032-0001,MIL-PRF-49464,Amphenol Corporation,18876,276-032-0001,2016-02-09
MIL-DTL-24308__18876__10272466,MIL-DTL-24308,Amphenol Corporation,18876,10272466,2005-09-19
MIL-DTL-83513__18876__11454794,MIL-DTL-83513,Amphenol Corporation,18876,11454794,2019-06-01
MIL-PRF-49464__18876__11453336,MIL-PRF-49464,Amphenol Corporation,18876,11453336,2010-05-13
MIL-PRF-49464__18876__031-1287-003,MIL-PRF-49464,Amphenol Corporation,18876,031-1287-003,2001-01-27
MIL-DTL-24308__58536__24308-778E,MIL-DTL-24308,Glenair Inc,58536,24308-778E,2022-10-03
MIL-DTL-24308__93958__24308-909H,MIL-DTL-24308,AVX Corporation,93958,24308-909H,2019-10-07
MIL-DTL-24308__58536__24308-140D,MIL-DTL-24308,Glenair Inc,58536,24308-140D,2015-12-14
MIL-DTL-24308__05869__24308-975H,MIL-DTL-24308,Souriau USA,05869,24308-975H,2010-03-16
MIL-DTL-38999__93958__38999-843D,MIL-DTL-38999,AVX Corporation,93958,38999-843D,2020-09-10
MIL-DTL-38999__13058__38999-699F,MIL-DTL-38999,Spectrum Control,13058,38999-699F,2014-12-07
MIL-DTL-38999__81349__38999-265H,MIL-DTL-38999,Vishay Dale,81349,38999-265H,2019-08-10
MIL-DTL-5015__58536__5015-212B,MIL-DTL-5015,Glenair Inc,58536,5015-212B,2010-04-09
MIL-DTL-5015__01526__5015-591H,MIL-DTL-5015,KEMET Electronics,01526,5015-591H,2006-06-06
MIL-DTL-5809__71468__5809-317E,MIL-DTL-5809,ITT Cannon,71468,5809-317E,2005-03-15
MIL-DTL-5809__30221__5809-367G,MIL-DTL-5809,Ohmite Manufacturing,30221,5809-367G,2011-04-19
MIL-DTL-5809__60426__5809-718C,MIL-DTL-5809,TE Connectivity,60426,5809-718C,2023-08-24
MIL-DTL-83513__06141__83513-681F,MIL-DTL-83513,Honeywell Sensing,06141,83513-681F,2018-08-04
MIL-DTL-83513__77820__83513-878D,MIL-DTL-83513,Bendix Corporation,77820,83513-878D,2016-01-19
MIL-DTL-83513__05869__83513-688C,MIL-DTL-83513,Souriau USA,05869,83513-688C,2023-09-13
MIL-DTL-83723__01526__83723-159A,MIL-DTL-83723,KEMET Electronics,01526,83723-159A,2020-05-12
MIL-DTL-83723__0C579__83723-385B,MIL-DTL-83723,Eaton Aerospace,0C579,83723-385B,2008-05-18
MIL-DTL-83723__77820__83723-443C,MIL-DTL-83723,Bendix Corporation,77820,83723-443C,2012-05-02
MIL-DTL-83723__71468__83723-760G,MIL-DTL-83723,ITT Cannon,71468,83723-760G,2023-09-08
MIL-DTL-83723__3B150__83723-784A,MIL-DTL-83723,Radiall USA,3B150,83723-784A,2019-08-20
MIL-PRF-123__0C579__123-744C,MIL-PRF-123,Eaton Aerospace,0C579,123-744C,2008-04-15
MIL-PRF-123__89954__123-988F,MIL-PRF-123,Electro-Cube Inc,89954,123-988F,2006-05-13
MIL-PRF-15733__0C579__15733-278F,MIL-PRF-15733,Eaton Aerospace,0C579,15733-278F,2015-04-14
MIL-PRF-15733__60426__15733-241C,MIL-PRF-15733,TE Connectivity,60426,15733-241C,2005-04-14
MIL-PRF-15733__81349__15733-744G,MIL-PRF-15733,Vishay Dale,81349,15733-744G,2024-10-07
MIL-PRF-15733__01526__15733-103F,MIL-PRF-15733,KEMET Electronics,01526,15733-103F,2022-08-24
MIL-PRF-27__81349__27-170H,MIL-PRF-27,Vishay Dale,81349,27-170H,2018-02-28
MIL-PRF-27__58536__27-696E,MIL-PRF-27,Glenair Inc,58536,27-696E,2022-02-23
MIL-PRF-27__06141__27-863E,MIL-PRF-27,Honeywell Sensing,06141,27-863E,2011-10-18
MIL-PRF-27__71468__27-946E,MIL-PRF-27,ITT Cannon,71468,27-946E,2021-05-14
MIL-PRF-27__0C579__27-788H,MIL-PRF-27,Eaton Aerospace,0C579,27-788H,2022-12-20
MIL-PRF-38535__58364__38535-268G,MIL-PRF-38535,Cornell Dubilier,58364,38535-268G,2023-09-21
MIL-PRF-38535__77820__38535-848G,MIL-PRF-38535,Bendix Corporation,77820,38535-848G,2014-09-01
MIL-PRF-38535__93958__38535-232F,MIL-PRF-38535,AVX Corporation,93958,38535-232F,2021-06-19
MIL-PRF-38535__0C579__38535-139B,MIL-PRF-38535,Eaton Aerospace,0C579,38535-139B,2016-01-11
MIL-PRF-38535__01526__38535-802F,MIL-PRF-38535,KEMET Electronics,01526,38535-802F,2009-08-01
MIL-PRF-39007__60426__39007-208D,MIL-PRF-39007,TE Connectivity,60426,39007-208D,2007-10-05
MIL-PRF-39007__0C579__39007-490H,MIL-PRF-39007,Eaton Aerospace,0C579,39007-490H,2019-02-04
MIL-PRF-39007__3B150__39007-334F,MIL-PRF-39007,Radiall USA,3B150,39007-334F,2009-03-14
MIL-PRF-39007__71468__39007-663H,MIL-PRF-39007,ITT Cannon,71468,39007-663H,2011-03-13
MIL-PRF-39014__01526__39014-938F,MIL-PRF-39014,KEMET Electronics,01526,39014-938F,2013-10-20
MIL-PRF-39014__89954__39014-469B,MIL-PRF-39014,Electro-Cube Inc,89954,39014-469B,2019-09-10
MIL-PRF-39014__06141__39014-206F,MIL-PRF-39014,Honeywell Sensing,06141,39014-206F,2021-10-14
MIL-PRF-39014__13058__39014-117B,MIL-PRF-39014,Spectrum Control,13058,39014-117B,2012-09-18
MIL-PRF-39016__13058__39016-330D,MIL-PRF-39016,Spectrum Control,13058,39016-330D,2023-09-25
