requirement_id,nsn,requirement_name,operator,value,uom,requirement_class,source,source_spec_id,conflicting_value,conflicting_source,value_num,value_min,value_max,value_text,parse_status,raw_requirement_name
5905-00-493-1204__power_rating,5905-00-493-1204,power_rating,gte,0.1,W,electrical,publog_characteristics,,,,0.1,,,0.1 W,number,power_rating
5905-00-493-1204__resistance_tolerance,5905-00-493-1204,resistance_tolerance,lte,0.5,%,electrical,manual_override,MIL-PRF-39007,,,0.5,,,0.5 %,number,resistance_tolerance
5905-00-493-1204__temperature_coefficient,5905-00-493-1204,temperature_coefficient,lte,100,ppm/degC,electrical,manual_override,MIL-PRF-39007,,,100.0,,,100 ppm/degC,number,temperature_coefficient
5905-00-493-1204__voltage_rating,5905-00-493-1204,voltage_rating,gte,250,V,electrical,manual_override,MIL-PRF-39007,500,publog_characteristics,250.0,,,250 V,number,voltage_rating
5905-00-493-1204__operating_temp_max,5905-00-493-1204,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-39007,200,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5905-00-493-1204__operating_temp_min,5905-00-493-1204,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-39007,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5905-00-493-1204__humidity_resistance,5905-00-493-1204,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,humidity_resistance
5905-00-493-1204__qualification,5905-00-493-1204,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,qualification
5905-00-493-1204__solderability_per_j_std_002,5905-00-493-1204,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,solderability_per_j_std_002
5905-00-493-1204__thermal_shock_cycles,5905-00-493-1204,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-PRF-39007,,,10.0,,,10,number,thermal_shock_cycles
5905-00-493-1204__vibration_grms,5905-00-493-1204,vibration_grms,gte,20,,qualification,spec_extraction,MIL-PRF-39007,,,20.0,,,20,number,vibration_grms
5905-00-493-1204__lot_traceability,5905-00-493-1204,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,lot_traceability
5905-00-493-1210__resistance_tolerance,5905-00-493-1210,resistance_tolerance,lte,0.5,%,electrical,manual_override,MIL-PRF-39007,0.1,publog_characteristics,0.5,,,0.5 %,number,resistance_tolerance
5905-00-493-1210__temperature_coefficient,5905-00-493-1210,temperature_coefficient,lte,100,ppm/degC,electrical,manual_override,MIL-PRF-39007,,,100.0,,,100 ppm/degC,number,temperature_coefficient
5905-00-493-1210__voltage_rating,5905-00-493-1210,voltage_rating,gte,250,V,electrical,manual_override,MIL-PRF-39007,250,publog_characteristics,250.0,,,250 V,number,voltage_rating
5905-00-493-1210__operating_temp_max,5905-00-493-1210,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-39007,150,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5905-00-493-1210__operating_temp_min,5905-00-493-1210,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-39007,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5905-00-493-1210__humidity_resistance,5905-00-493-1210,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,humidity_resistance
5905-00-493-1210__qualification,5905-00-493-1210,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,qualification
5905-00-493-1210__solderability_per_j_std_002,5905-00-493-1210,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,solderability_per_j_std_002
5905-00-493-1210__thermal_shock_cycles,5905-00-493-1210,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-PRF-39007,,,10.0,,,10,number,thermal_shock_cycles
5905-00-493-1210__vibration_grms,5905-00-493-1210,vibration_grms,gte,20,,qualification,spec_extraction,MIL-PRF-39007,,,20.0,,,20,number,vibration_grms
5905-00-493-1210__lot_traceability,5905-00-493-1210,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,lot_traceability
5905-00-493-1211__power_rating,5905-00-493-1211,power_rating,gte,1,W,electrical,publog_characteristics,,,,1.0,,,1 W,number,power_rating
5905-00-493-1211__resistance,5905-00-493-1211,resistance,eq,100000,ohm,electrical,publog_characteristics,,,,100000.0,,,100000 ohm,number,resistance
5905-00-493-1211__resistance_tolerance,5905-00-493-1211,resistance_tolerance,lte,0.5,%,electrical,manual_override,MIL-PRF-39007,0.1,publog_characteristics,0.5,,,0.5 %,number,resistance_tolerance
5905-00-493-1211__temperature_coefficient,5905-00-493-1211,temperature_coefficient,lte,100,ppm/degC,electrical,manual_override,MIL-PRF-39007,15,publog_characteristics,100.0,,,100 ppm/degC,number,temperature_coefficient
5905-00-493-1211__voltage_rating,5905-00-493-1211,voltage_rating,gte,250,V,electrical,manual_override,MIL-PRF-39007,500,publog_characteristics,250.0,,,250 V,number,voltage_rating
5905-00-493-1211__operating_temp_max,5905-00-493-1211,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-39007,125,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5905-00-493-1211__operating_temp_min,5905-00-493-1211,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-39007,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5905-00-493-1211__humidity_resistance,5905-00-493-1211,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,humidity_resistance
5905-00-493-1211__qualification,5905-00-493-1211,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,qualification
5905-00-493-1211__solderability_per_j_std_002,5905-00-493-1211,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,solderability_per_j_std_002
5905-00-493-1211__thermal_shock_cycles,5905-00-493-1211,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-PRF-39007,,,10.0,,,10,number,thermal_shock_cycles
5905-00-493-1211__vibration_grms,5905-00-493-1211,vibration_grms,gte,20,,qualification,spec_extraction,MIL-PRF-39007,,,20.0,,,20,number,vibration_grms
5905-00-493-1211__lot_traceability,5905-00-493-1211,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,lot_traceability
5905-01-173-4875__power_rating,5905-01-173-4875,power_rating,gte,0.1,W,electrical,publog_characteristics,,,,0.1,,,0.1 W,number,power_rating
5905-01-173-4875__resistance,5905-01-173-4875,resistance,eq,1,ohm,electrical,publog_characteristics,,,,1.0,,,1 ohm,number,resistance
5905-01-173-4875__resistance_tolerance,5905-01-173-4875,resistance_tolerance,lte,0.5,%,electrical,manual_override,MIL-PRF-39007,5,publog_characteristics,0.5,,,0.5 %,number,resistance_tolerance
5905-01-173-4875__temperature_coefficient,5905-01-173-4875,temperature_coefficient,lte,100,ppm/degC,electrical,manual_override,MIL-PRF-39007,25,publog_characteristics,100.0,,,100 ppm/degC,number,temperature_coefficient
5905-01-173-4875__voltage_rating,5905-01-173-4875,voltage_rating,gte,250,V,electrical,manual_override,MIL-PRF-39007,250,publog_characteristics,250.0,,,250 V,number,voltage_rating
5905-01-173-4875__operating_temp_max,5905-01-173-4875,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-39007,125,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5905-01-173-4875__operating_temp_min,5905-01-173-4875,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-39007,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5905-01-173-4875__humidity_resistance,5905-01-173-4875,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,humidity_resistance
5905-01-173-4875__qualification,5905-01-173-4875,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,qualification
5905-01-173-4875__solderability_per_j_std_002,5905-01-173-4875,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,solderability_per_j_std_002
