slot_id,assembly_id,slot_name,baseline_nsn
J1,interconnect,J1_plug,5935-00-079-5458
J2,interconnect,J2_adapter,5935-00-104-9650
J3,interconnect,J3_plug,5935-00-105-4641
J4,interconnect,J4_plug_body,5935-00-330-3329
J5,interconnect,J5_receptacle,5935-00-812-3399
J6,interconnect,J6_retainer,5935-00-987-0797
J7,interconnect,J7_backshell,5935-01-050-8241
J8,interconnect,J8_plug,5935-01-151-1226
J9,interconnect,J9_backshell,5935-01-223-2835
J10,interconnect,J10_plug_body,5935-01-249-9088
J11,interconnect,J11_receptacle,5935-01-296-3505
J12,interconnect,J12_backshell,5935-01-446-7776
E1,interconnect,E1_dust_cap,5999-00-162-1259
E2,interconnect,E2_heatsink,5999-00-196-0634
E3,interconnect,E3_contact,5999-01-070-6620
E4,interconnect,E4_emi_gasket,5999-01-129-4193
E5,interconnect,E5_heatsink,5999-01-209-0658
E6,interconnect,E6_knitted_wire,5999-01-215-7176
E7,interconnect,E7_emi_gasket,5999-01-222-0064
E8,interconnect,E8_emi_gasket,5999-01-240-8049
E9,interconnect,E9_cooler,5999-01-270-9406
E10,interconnect,E10_emi_gasket,5999-01-294-4489
E11,interconnect,E11_contact,5999-01-473-6202
C1,power_distribution,C1_paper,5910-00-934-0177
C2,power_distribution,C2_ceramic,5910-01-204-1981
C3,power_distribution,C3_ceramic,5910-01-237-2621
FL1,power_distribution,FL1_dc_power,5915-01-134-7687
S1,power_distribution,S1_toggle,5930-00-689-2834
S2,power_distribution,S2_pressure,5930-01-110-7093
S3,power_distribution,S3_pressure,5930-01-110-7094
S4,power_distribution,S4_pressure,5930-01-174-6031
K1,power_distribution,K1_coil_drv,5945-00-491-3597
R1,signal_conditioning,R1_ww,5905-00-493-1204
R2,signal_conditioning,R2_ww,5905-00-493-1210
R3,signal_conditioning,R3_ww,5905-00-493-1211
R4,signal_conditioning,R4_ww,5905-01-173-4875
R5,signal_conditioning,R5_film,5905-01-290-1192
L1,signal_conditioning,L1_coil,5950-00-698-0421
L2,signal_conditioning,L2_rf_coil,5950-01-199-2306
L3,signal_conditioning,L3_pulse_xfmr,5950-01-224-5861
CR1,signal_conditioning,CR1_diode,5961-01-017-5461
