delta_id,candidate_id,nsn,candidate_mpn,requirement_name,required_value,candidate_value,verdict,scored,gate_type,operator,uom,required_value_display,candidate_value_display,requirement_class,source,source_spec_id
5905-00-493-1204__101-250RX__power_rating,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,power_rating,0.1,0.25,pass,true,hard,gte,W,>= 0.1 W,0.25 W,electrical,publog_characteristics,
5905-00-493-1204__101-250RX__resistance_tolerance,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,resistance_tolerance,0.5,0.01,pass,true,soft,lte,%,<= 0.5 %,0.01 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__101-250RX__temperature_coefficient,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,temperature_coefficient,100,10,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,10 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__101-250RX__voltage_rating,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__101-250RX__operating_temp_max,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,operating_temp_max,125,145,pass,true,hard,gte,degC,>= 125 degC,145 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__operating_temp_min,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__humidity_resistance,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__qualification,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__solderability_per_j_std_002,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__thermal_shock_cycles,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__vibration_grms,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__101-250RX__lot_traceability,5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__power_rating,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,power_rating,0.1,0.6,pass,true,hard,gte,W,>= 0.1 W,0.6 W,electrical,publog_characteristics,
5905-00-493-1204__CMF55100R00BEEB__resistance_tolerance,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__temperature_coefficient,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__voltage_rating,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__operating_temp_max,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__operating_temp_min,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__humidity_resistance,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__qualification,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__solderability_per_j_std_002,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__thermal_shock_cycles,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__vibration_grms,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF55100R00BEEB__lot_traceability,5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__power_rating,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,power_rating,0.1,0.6,pass,true,hard,gte,W,>= 0.1 W,0.6 W,electrical,publog_characteristics,
5905-00-493-1204__CMF5510R000BHEA__resistance_tolerance,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__temperature_coefficient,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,temperature_coefficient,100,50,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,50 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__voltage_rating,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__operating_temp_max,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,operating_temp_max,125,175,pass,true,hard,gte,degC,>= 125 degC,175 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__operating_temp_min,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__humidity_resistance,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__qualification,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__solderability_per_j_std_002,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__thermal_shock_cycles,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__vibration_grms,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CMF5510R000BHEA__lot_traceability,5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__power_rating,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__CRT0603-BY-1002ELF__resistance_tolerance,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__temperature_coefficient,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__voltage_rating,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__operating_temp_max,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__operating_temp_min,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__humidity_resistance,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__qualification,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__solderability_per_j_std_002,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__thermal_shock_cycles,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__vibration_grms,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1002ELF__lot_traceability,5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__power_rating,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__CRT0603-BY-1003ELF__resistance_tolerance,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__temperature_coefficient,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__voltage_rating,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
