spec_requirement_id,spec_id,requirement_name,operator,value,uom,requirement_class,confidence,source_page
MIL-DTL-24308__operating_temp_min,MIL-DTL-24308,operating_temp_min,lte,-55,C,environmental,0.88,18
MIL-DTL-24308__operating_temp_max,MIL-DTL-24308,operating_temp_max,gte,125,C,environmental,0.88,11
MIL-DTL-24308__thermal_shock_cycles,MIL-DTL-24308,thermal_shock_cycles,gte,10,cycles,qualification,0.85,44
MIL-DTL-24308__vibration_grms,MIL-DTL-24308,vibration_grms,gte,10,grms,qualification,0.86,23
MIL-DTL-24308__humidity_resistance,MIL-DTL-24308,humidity_resistance,boolean,true,,qualification,0.65,16
MIL-DTL-24308__qualification,MIL-DTL-24308,qualification,boolean,true,,qualification,0.85,31
MIL-DTL-24308__lot_traceability,MIL-DTL-24308,lot_traceability,boolean,true,,traceability,0.89,33
MIL-DTL-24308__shell_material,MIL-DTL-24308,shell_material,eq,composite,text,mechanical,0.76,30
MIL-DTL-24308__contact_count,MIL-DTL-24308,contact_count,eq,25,count,mechanical,0.91,25
MIL-DTL-24308__insulation_resistance,MIL-DTL-24308,insulation_resistance,gte,1000,Mohm,electrical,0.84,13
MIL-DTL-38999__operating_temp_min,MIL-DTL-38999,operating_temp_min,lte,-55,C,environmental,0.52,14
MIL-DTL-38999__operating_temp_max,MIL-DTL-38999,operating_temp_max,gte,125,C,environmental,0.73,45
MIL-DTL-38999__thermal_shock_cycles,MIL-DTL-38999,thermal_shock_cycles,gte,25,cycles,qualification,0.63,15
MIL-DTL-38999__vibration_grms,MIL-DTL-38999,vibration_grms,gte,10,grms,qualification,0.87,38
MIL-DTL-38999__humidity_resistance,MIL-DTL-38999,humidity_resistance,boolean,true,,qualification,0.59,16
MIL-DTL-38999__qualification,MIL-DTL-38999,qualification,boolean,true,,qualification,0.92,38
MIL-DTL-38999__lot_traceability,MIL-DTL-38999,lot_traceability,boolean,true,,traceability,0.46,23
MIL-DTL-38999__dpa_sample_required,MIL-DTL-38999,dpa_sample_required,boolean,true,,traceability,0.83,16
MIL-DTL-38999__coupling_type,MIL-DTL-38999,coupling_type,eq,bayonet,text,mechanical,0.74,3
MIL-DTL-38999__contact_resistance,MIL-DTL-38999,contact_resistance,gte,1.4,mohm,electrical,0.81,36
MIL-DTL-38999__insulation_resistance,MIL-DTL-38999,insulation_resistance,eq,5000,Mohm,electrical,0.86,13
MIL-DTL-5015__operating_temp_min,MIL-DTL-5015,operating_temp_min,lte,-55,C,environmental,0.94,9
MIL-DTL-5015__operating_temp_max,MIL-DTL-5015,operating_temp_max,gte,150,C,environmental,0.77,11
MIL-DTL-5015__thermal_shock_cycles,MIL-DTL-5015,thermal_shock_cycles,gte,10,cycles,qualification,0.88,22
MIL-DTL-5015__vibration_grms,MIL-DTL-5015,vibration_grms,gte,10,grms,qualification,0.92,5
MIL-DTL-5015__humidity_resistance,MIL-DTL-5015,humidity_resistance,boolean,true,,qualification,0.74,12
