candidate_id,nsn,candidate_mpn,risk_level,risk_rank,pass_count,fail_count,marginal_count,unknown_count,qpl_listed,gov_unit_price,gov_quantity,commercial_unit_price,commercial_basis_qty,price_delta_indicative,rationale,qualification_gap_count,qualification_gap_summary,source,composite_score,weight_coverage_pct,gates_failed,country_of_origin,manufacturer,digikey_pn,governing_spec_ref,enriched,lifecycle_status,distributor_count,gov_price_fiscal_year,rank_within_nsn
5905-00-493-1204__HoFL2-1000A-75mV-0.5%-nickel plated,5905-00-493-1204,HoFL2-1000A-75mV-0.5%-nickel plated,low,1,5,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A-75mV-0.5%-nickelplated-ND,MIL-PRF-39007,false,unknown,,,1
5905-00-493-1204__HoFL2-1000A75mVD12595NJ,5905-00-493-1204,HoFL2-1000A75mVD12595NJ,low,1,5,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A75mVD12595NJ-ND,MIL-PRF-39007,false,unknown,,,2
5905-00-493-1204__101-250RX,5905-00-493-1204,101-250RX,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Riedon products by Bourns,696-1556-ND,MIL-PRF-39007,false,unknown,,,3
5905-00-493-1204__CMF55100R00BEEB,5905-00-493-1204,CMF55100R00BEEB,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Vishay Dale,CMF100HBTR-ND,MIL-PRF-39007,false,unknown,,,4
5905-00-493-1204__CMF5510R000BHEA,5905-00-493-1204,CMF5510R000BHEA,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Vishay Dale,541-4313-2-ND,MIL-PRF-39007,false,unknown,,,5
5905-00-493-1204__CRT0603-BY-1002ELF,5905-00-493-1204,CRT0603-BY-1002ELF,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,MIL-PRF-39007,false,unknown,,,6
5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,MIL-PRF-39007,false,unknown,,,7
5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,MIL-PRF-39007,false,unknown,,,8
5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P10KDBTR-ND,MIL-PRF-39007,false,unknown,,,9
5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P120DBTR-ND,MIL-PRF-39007,false,unknown,,,10
